날짜,총,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,
sensortech,,,,,,,,,,,,,,,,,,,,,,
170712,8702,39,395,1058,1168,1148,951,1510,1080,721,498,119,15,,,,,,,,,
170713,8346,16,200,831,1110,1032,1188,1440,1172,796,469,89,3,,,,,,,,,
170714,6715,10,131,701,1163,859,1017,1162,750,518,269,102,33,,,,,,,,,
E2C,,,,,,,,,,,,,,,,,,,,,,
150105,5000,,4999,1,243,233,551,721,703.5,795.5,692.5,771.5,288,4.86,4.66,11.02,14.42,14.07,15.91,13.85,15.43,5.76
150110,4000,,4072,-72,0,556.8,570,447.2,443.6,526,580.4,518.8,429.2,0,13.92,14.25,11.18,11.09,13.15,14.51,12.97,10.73
150124,1000,,1000,0,2.8,104.2,102.5,128.4,92.3,132.2,208.9,161,67.4,0.28,10.42,10.25,12.84,9.23,13.22,20.89,16.1,6.74
150226,5980,,5976,4,345.046,376.142,820.456,713.414,353.418,886.236,1293.474,661.986,526.24,5.77,6.29,13.72,11.93,5.91,14.82,21.63,11.07,8.8
150227,7900,,7898,2,470.84,501.65,1148.66,923.51,434.5,1204.75,1673.22,864.26,677.03,5.96,6.35,14.54,11.69,5.5,15.25,21.18,10.94,8.57
150228,11807,,11800,7,767.455,720.227,1699.0273,1403.8523,664.7341,1727.3641,2503.084,1239.735,1074.437,6.5,6.1,14.39,11.89,5.63,14.63,21.2,10.5,9.1
150301,9930,,9930,0,511.395,528.276,1418.997,1235.292,651.408,1508.367,2097.216,1169.754,809.295,5.15,5.32,14.29,12.44,6.56,15.19,21.12,11.78,8.15
150310,"2,208",,2207,1,87.6576,88.0992,344.6688,323.6928,223.4496,350.6304,361.2288,236.0352,191.4336,3.97,3.99,15.61,14.66,10.12,15.88,16.36,10.69,8.67
150311,"2,738",,2736,2,125.4004,114.7222,427.6756,414.807,265.586,407.4144,418.914,313.2272,248.3366,4.58,4.19,15.62,15.15,9.7,14.88,15.3,11.44,9.07
150312,"2,678",,2677,1,129.3474,89.1774,424.9986,379.7404,261.6406,436.2462,421.785,274.2272,260.3016,4.83,3.33,15.87,14.18,9.77,16.29,15.75,10.24,9.72
150313,"2,368",,2367,1,83.3536,98.0352,375.8016,364.4352,233.248,373.6704,367.2768,256.928,214.304,3.52,4.14,15.87,15.39,9.85,15.78,15.51,10.85,9.05
150318,130,,130,0,7.956,11.271,22.841,14.404,13.078,18.668,21.333,15.678,4.758,6.12,8.67,17.57,11.08,10.06,14.36,16.41,12.06,3.66
150319,227,,227,0,13.8924,20.4754,39.2029,25.424,24.6749,34.504,36.4789,25.4694,6.7873,6.12,9.02,17.27,11.2,10.87,15.2,16.07,11.22,2.99
150320,272,,272,0,15.4496,23.1472,49.9664,31.008,25.7312,38.4064,45.288,33.5648,9.2208,5.68,8.51,18.37,11.4,9.46,14.12,16.65,12.34,3.39
150321,262,,262,0,17.161,24.5756,43.754,27.9292,25.676,39.3524,45.0116,31.3614,7.1788,6.55,9.38,16.7,10.66,9.8,15.02,17.18,11.97,2.74
150322,109,,109,0,6.4419,9.0688,19.1077,11.8483,11.3142,15.3036,17.9741,13.0037,4.9268,5.91,8.32,17.53,10.87,10.38,14.04,16.49,11.93,4.52
150326,"6,857",,6853,4,53.4846,640.4438,875.6389,693.9284,966.837,638.3867,1208.8891,1037.4641,737.8132,0.78,9.34,12.77,10.12,14.1,9.31,17.63,15.13,10.76
150327,"9,058",,9058,0,137.6816,809.7852,1224.6416,838.7708,1308.881,768.1184,1657.614,1347.8304,964.677,1.52,8.94,13.52,9.26,14.45,8.48,18.3,14.88,10.65
150328,"13,537",,13530,7,139.4311,1267.0632,1723.2601,1424.0924,1803.1284,1283.3076,2419.0619,2046.7944,1424.0924,1.03,9.36,12.73,10.52,13.32,9.48,17.87,15.12,10.52
150329,"11,385",,11378,7,198.099,1041.7275,1367.3385,1165.824,1658.7945,1003.0185,1937.727,1677.0105,1328.6295,1.74,9.15,12.01,10.24,14.57,8.81,17.02,14.73,11.67
150402,"1,000",,1000,0,9.1,114.9,111.9,139.4,60.1,159.2,171.2,123.3,110.9,0.91,11.49,11.19,13.94,6.01,15.92,17.12,12.33,11.09
150403,"3,967",,3967,0,59.505,450.6512,407.4109,551.8097,256.6649,622.0256,654.9517,501.0321,462.9489,1.5,11.36,10.27,13.91,6.47,15.68,16.51,12.63,11.67
150404,"11,378",,11371,7,188.8748,1309.6078,1363.0844,1674.8416,557.522,1760.1766,1935.3978,1391.5294,1190.1388,1.66,11.51,11.98,14.72,4.9,15.47,17.01,12.23,10.46
150405,"13,914",,13907,7,187.839,1604.2842,1458.1872,1907.6094,833.4486,2352.8574,2298.5928,1671.0714,1593.153,1.35,11.53,10.48,13.71,5.99,16.91,16.52,12.01,11.45
150406,"3,967",,3965,2,24.5954,443.5106,456.205,547.446,215.0114,654.1583,649.0012,503.0156,472.073,0.62,11.18,11.5,13.8,5.42,16.49,16.36,12.68,11.9
150407,"3,967",,3977,-10,7.1406,480.8004,459.3786,575.6117,198.35,643.4474,695.4151,499.0486,417.3284,0.18,12.12,11.58,14.51,5,16.22,17.53,12.58,10.52
150408,"3,967",,3967,0,43.637,440.337,416.1383,518.8836,249.5243,646.2243,687.0844,514.5199,450.2545,1.1,11.1,10.49,13.08,6.29,16.29,17.32,12.97,11.35
150409,"3,967",,3966,1,50.3809,480.8004,398.2868,570.0579,241.1936,635.9101,671.2164,507.776,410.5845,1.27,12.12,10.04,14.37,6.08,16.03,16.92,12.8,10.35
150410,"3,967",,3966,1,45.6205,453.4281,455.0149,556.5701,245.5573,639.8771,681.9273,448.6677,439.1469,1.15,11.43,11.47,14.03,6.19,16.13,17.19,11.31,11.07
150411,"12,047",,12037,10,63.8491,1445.64,1302.2807,1686.58,766.1892,1915.473,2069.6746,1440.8212,1346.8546,0.53,12,10.81,14,6.36,15.9,17.18,11.96,11.18
150412,"14,736",,14726,10,184.2,1554.648,1567.9104,1965.7824,862.056,2462.3856,2597.9568,1959.888,1570.8576,1.25,10.55,10.64,13.34,5.85,16.71,17.63,13.3,10.66
